compound_name,pubchem_cid,smiles,family,chembl_id,match_method,match_status,n_candidates,chembl_pref_name
CID_1326,1326,Cn1c(=O)c2ncn(C)c2n(C)c1=O,Pyrethroids,CHEMBL74063,sqlite_smiles,ok,1,ISOCAFFIENE
CID_1474,1474,c1ccc(-c2ccccn2)nc1,Pyrethroids,CHEMBL39879,sqlite_smiles,ok,1,DIPYRIDYL
CID_1982,1982,COP(=O)(NC(C)=O)SC,Pyrethroids,CHEMBL2133249,sqlite_smiles,ok,1,ACEPHATE
CID_34,34,OCCCl,Herbicides,CHEMBL191244,sqlite_smiles,ok,1,2-CHLOROETHANOL
CID_240,240,O=Cc1ccccc1,Herbicides,CHEMBL15972,sqlite_smiles,ok,1,BENZALDEHYDE
CID_259,259,[Br-],Herbicides,,,not_found,0,
CID_456,456,NC(=O)NC(=O)C(=O)O,Herbicides,,,not_found,0,
CID_807,807,II,Herbicides,CHEMBL1201225,sqlite_smiles,ok,1,IODINE
CID_949,949,CN(C)c1ccccc1,Herbicides,CHEMBL371654,sqlite_smiles,ok,1,
CID_1003,1003,O=P([O-])(O)O,Herbicides,,,not_found,0,
CID_1049,1049,c1ccncc1,Herbicides,CHEMBL266158,sqlite_smiles,ok,1,PYRIDINE
CID_1133,1133,O=C(O)CS,Herbicides,CHEMBL116455,sqlite_smiles,ok,1,THIOGLYCOLIC ACID
CID_1567,1567,OCCS,Herbicides,CHEMBL254951,sqlite_smiles,ok,1,2-MERCAPTOETHANOL
CID_1639,1639,Nc1ncn[nH]1,Herbicides,,,not_found,0,
CID_1988,1988,CCOCN(C(=O)CCl)c1c(C)cccc1CC,Herbicides,CHEMBL1517425,sqlite_smiles,ok,1,ACETOCHLOR
CID_2140,2140,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,Herbicides,CHEMBL1201220,sqlite_smiles,ok,1,DIATRIZOIC ACID
CID_2265,2265,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,Herbicides,,,not_found,0,
CID_2519,2519,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Herbicides,CHEMBL113,sqlite_smiles,ok,1,CAFFEINE
CID_2537,2537,CC12CCC(CC1=O)C2(C)C,Herbicides,CHEMBL15768,sqlite_smiles,ok,1,CAMPHOR
CID_2576,2576,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,Herbicides,CHEMBL1233,sqlite_smiles,ok,1,CARISOPRODOL
CID_2680,2680,NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2)CC1,Herbicides,CHEMBL2448182,sqlite_smiles,ok,1,
CID_2780,2780,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,Herbicides,CHEMBL325109,sqlite_smiles,ok,1,CLEBOPRIDE
CID_3016,3016,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Herbicides,CHEMBL12,sqlite_smiles,ok,1,DIAZEPAM
CID_3289,3289,CCCSP(=O)(OCC)SCCC,Herbicides,CHEMBL1894994,sqlite_smiles,ok,1,ETHOPROPHOS
CID_3440,3440,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,Herbicides,CHEMBL35,sqlite_smiles,ok,1,FUROSEMIDE
CID_3559,3559,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Herbicides,CHEMBL54,sqlite_smiles,ok,1,HALOPERIDOL
CID_3715,3715,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Herbicides,CHEMBL6,sqlite_smiles,ok,1,INDOMETHACIN
CID_4064,4064,CCCC(C)(COC(N)=O)COC(N)=O,Herbicides,CHEMBL979,sqlite_smiles,ok,1,MEPROBAMATE
CID_4510,4510,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],Herbicides,CHEMBL730,sqlite_smiles,ok,1,NITROGLYCERIN
CID_4581,4581,NCC(O)c1ccc(O)cc1,Herbicides,CHEMBL53929,sqlite_smiles,ok,1,OCTOPAMINE
CID_4610,4610,NC1CCCCC1N,Herbicides,CHEMBL1356279,sqlite_smiles,ok,1,
CID_4756,4756,Nc1ccc(N=Nc2ccccc2)c(N)n1,Herbicides,CHEMBL1625467,sqlite_smiles,ok,1,
CID_4781,4781,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,CHEMBL101,sqlite_smiles,ok,1,PHENYLBUTAZONE
